Team,Match,Alliance,(A)Start:Low Bar,(A)Start:Cheval de Frise,(A)Start:Portcullis,(A)Start:Moat,(A)Start:Ramparts,(A)Start:Drawbridge,(A)Start:Sally Port,(A)Start:Rock Wall,(A)Start:Rough Terrain,(A)Spy,(A)Cross,(A)Reach,(A)Foul,(A)Tech Foul,(A)Passage High,(A)Passage Low,(A)Center High,(A)Far,(A)Bar High,(A)Bar Low,(A)Miss,(T)Cross:Low Bar,(T)Cross:Cheval de Frise,(T)Cross:Portcullis,(T)Cross:Moat,(T)Cross:Ramparts,(T)Cross:Drawbridge,(T)Cross:Sally Port,(T)Cross:Rock Wall,(T)Cross:Rough Terrain,(T)Help:Low Bar,(T)Help:Cheval de Frise,(T)Help:Portcullis,(T)Help:Moat,(T)Help:Ramparts,(T)Help:Drawbridge,(T)Help:Sally Port,(T)Help:Rock Wall,(T)Help:Rough Terrain,(T)Pin,(T)Block Shot,(T)Steal Ball,(T)Block Cross,(T)Foul,(T)Tech Foul,(T)Passage High,(T)Passage Low,(T)Center High,(T)Far,(T)Bar High,(T)Bar Low,(T)Miss,(T)Challenge,(T)Scale,(F)Total Score1,(F)Total Score2,(F)Total Score3,(F)Win,(F)Breach,(F)Capture,
4089,8,Red 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4911,8,Blue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2928,8,Blue 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2046,8,Blue 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
360,9,Red 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5085,9,Red 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3219,9,Red 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5468,9,Blue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5970,9,Blue 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3787,9,Blue 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
